battery,temp_c,soc_label_v,current_a,pulse_index,v_pre_v,v_min_v,v_0p05_v,v_0p10_v,r0_ohm_pack,rdc_ohm_pack,r1_ohm_pack,soc_est
202502130054,40.0,30,30,2,29.73000,27.04000,28.64204,27.76340,0.050909,0.089667,0.038757,0.280000
202502130054,40.0,30,30,3,28.80000,27.04000,27.91475,27.65362,0.033860,0.058667,0.024806,0.057273
202502130054,40.0,30,20,1,28.96000,27.86000,28.30609,28.24889,0.034126,0.055000,0.020874,0.068000
202502130054,40.0,30,20,2,29.17000,27.84000,28.44419,28.23042,0.041635,0.066500,0.024865,0.115000
202502130054,40.0,30,20,3,28.61000,27.83000,28.22937,28.19762,0.019825,0.039000,0.019175,0.049706
202502130054,40.0,30,10,1,29.03000,28.61000,28.81830,28.79851,0.022160,0.042000,0.019840,0.078333
202502130054,40.0,30,10,2,28.92000,28.60000,28.78872,28.77000,0.014064,0.032000,0.017936,0.064286
202502130054,40.0,30,10,3,29.42000,28.59000,28.87556,28.77851,0.059297,0.083000,0.023703,0.177500
202502130054,40.0,32,30,1,31.31000,29.15000,30.27032,29.87935,0.041172,0.072000,0.030828,0.601667
202502130054,40.0,32,30,2,30.47000,29.06000,29.78222,29.71348,0.024072,0.047000,0.022928,0.462000
202502130054,40.0,32,30,3,31.16000,29.00000,30.11826,29.66979,0.042199,0.072000,0.029801,0.578333
202502130054,40.0,32,20,1,31.40000,29.73000,30.52903,30.18255,0.052210,0.083500,0.031290,0.615000
202502130054,40.0,32,20,2,31.27000,29.68000,30.40934,30.10130,0.050734,0.079500,0.028766,0.595714
202502130054,40.0,32,20,3,30.80000,29.63000,30.10234,30.01851,0.036979,0.058500,0.021521,0.520000
202502130054,40.0,32,10,1,30.65000,30.36000,30.55936,30.55000,0.009532,0.029000,0.019468,0.495000
202502130054,40.0,32,10,2,30.60000,30.33000,30.52873,30.51286,0.007921,0.027000,0.019079,0.486000
202502130054,40.0,32,10,3,30.54000,30.30000,30.49913,30.48867,0.004610,0.024000,0.019390,0.475000
202502130054,40.0,35,30,1,32.93000,32.29000,32.91611,32.90222,0.000694,0.021333,0.020639,0.790000
202502130054,40.0,35,30,2,32.87000,32.24000,32.85636,32.84273,0.000682,0.021000,0.020318,0.783750
202502130054,40.0,35,30,3,32.85000,32.20000,32.83148,32.81296,0.000926,0.021667,0.020741,0.781250
202502130054,40.0,35,20,1,33.43000,33.01000,33.41636,33.40273,0.001023,0.021000,0.019977,0.848333
202502130054,40.0,35,20,2,33.37000,32.94000,33.35611,33.34222,0.001042,0.021500,0.020458,0.841667
202502130054,40.0,35,20,3,33.33000,32.90000,33.31636,33.30273,0.001023,0.021500,0.020477,0.837222
202502130054,40.0,35,10,1,33.86000,33.63000,33.85537,33.85074,0.000694,0.023000,0.022306,0.898750
202502130054,40.0,35,10,2,33.83000,33.60000,33.82083,33.81165,0.001376,0.023000,0.021624,0.895000
202502130054,40.0,35,10,3,33.78000,33.56000,33.77541,33.77083,0.000688,0.022000,0.021312,0.890000
45089,10.0,30,30,1,28.81000,25.10000,26.49417,26.08826,0.083960,0.123667,0.039707,0.057727
45089,10.0,30,30,2,29.87000,25.31000,27.38478,26.36913,0.099768,0.152000,0.052232,0.320000
45089,10.0,30,30,3,30.48000,25.54000,28.33000,26.69661,0.098890,0.164667,0.065777,0.464000
45089,10.0,30,20,1,29.61000,27.16000,27.96349,27.75714,0.087484,0.122500,0.035016,0.237500
45089,10.0,30,20,2,29.31000,27.19000,27.93333,27.74489,0.073544,0.106000,0.032456,0.152500
45089,10.0,30,20,3,29.77000,27.21000,28.07277,27.77426,0.092324,0.128000,0.035676,0.291250
45089,10.0,30,10,1,29.33000,28.74000,29.02936,28.99909,0.031577,0.059000,0.027423,0.157000
45089,10.0,30,10,2,29.96000,28.72000,29.08149,28.98667,0.092592,0.124000,0.031408,0.345000
45089,10.0,30,10,3,30.37000,28.70000,29.19452,29.00097,0.127226,0.167000,0.039774,0.441667
45089,10.0,32,30,1,30.93000,24.75000,27.72429,26.46238,0.127889,0.206000,0.078111,0.541667
45089,10.0,32,30,2,31.55000,25.07000,28.60362,26.62667,0.131162,0.216000,0.084838,0.631000
45089,10.0,32,30,3,31.06000,25.33000,28.21873,26.78933,0.118532,0.191000,0.072468,0.562857
45089,10.0,32,20,1,30.45000,27.29000,28.37774,28.05516,0.111677,0.158000,0.046323,0.457500
45089,10.0,32,20,2,29.10000,27.34000,28.13286,28.01381,0.051333,0.088000,0.036667,0.095000
45089,10.0,32,20,3,31.07000,27.40000,28.75813,28.12478,0.131427,0.183500,0.052073,0.564286
45089,10.0,32,10,1,31.31000,29.18000,29.82304,29.53344,0.163176,0.213000,0.049824,0.601667
45089,10.0,32,10,2,29.75000,29.16000,29.49804,29.46854,0.026671,0.059000,0.032329,0.285000
45089,10.0,32,10,3,29.76000,29.14000,29.48667,29.44500,0.029417,0.062000,0.032583,0.288333
45089,10.0,35,30,1,28.09000,26.72000,28.00284,27.91569,0.004358,0.045667,0.041309,0.036136
45089,10.0,35,30,2,28.56000,27.19000,28.48130,28.40259,0.003935,0.045667,0.041731,0.048235
45089,10.0,35,30,3,28.93000,27.65000,28.86056,28.79111,0.003472,0.042667,0.039194,0.065000
45089,10.0,35,20,1,30.44000,29.66000,30.40396,30.36793,0.002703,0.039000,0.036297,0.455000
45089,10.0,35,20,2,30.46000,29.70000,30.42262,30.38523,0.002804,0.038000,0.035196,0.460000
45089,10.0,35,20,3,30.49000,29.76000,30.45818,30.42636,0.002386,0.036500,0.034114,0.465714
45089,10.0,35,10,1,31.96000,31.59000,31.94624,31.93248,0.002064,0.037000,0.034936,0.671250
45089,10.0,35,10,2,31.92000,31.56000,31.90624,31.89248,0.002064,0.036000,0.033936,0.665000
45089,10.0,35,10,3,31.89000,31.52000,31.87611,31.86222,0.002083,0.037000,0.034917,0.662000
45089,20.0,30,30,1,30.46000,25.45000,28.48698,26.75683,0.094603,0.167000,0.072397,0.460000
45089,20.0,30,30,2,28.12000,25.64000,26.68660,26.48217,0.051187,0.082667,0.031479,0.036818
45089,20.0,30,30,3,29.19000,25.85000,27.17565,26.69857,0.075096,0.111333,0.036237,0.123333
45089,20.0,30,20,1,30.01000,27.34000,28.43742,27.89830,0.092107,0.133500,0.041393,0.358333
